zh-CN,en-US,ja-JP,ko-KR,fr-FR,es-ES,de-DE
你好,Hello,こんにちは,안녕하세요,Bonjour,Hola,Hallo
谢谢,Thank you,ありがとう,감사합니다,Merci,Gracias,Danke
早上好,Good morning,おはようございます,좋은 아침입니다,Bonjour,Buenos días,Guten Morgen
再见,Goodbye,さようなら,안녕히 가세요,Adiós,Hasta luego,Auf Wiedersehen
对不起,Sorry,すみません,죄송합니다,Désolé,Lo siento,Entschuldigung
没关系,It's okay,大丈夫です,괜찮습니다,C'est pas grave,No pasa,Kein Problem
欢迎,Welcome,ようこそ,환영합니다,Bienvenue,Bienvenido,Willkommen
学习,Learn,学ぶ,배우다,Apprendre,Aprender,Lernen
语言,Language,言語,언어,Langue,Idioma,Sprache
时间,Time,時間,시간,Tiempo,Tiempo,Zeit
朋友,Friend,友達,친구,Amigo,Amigo,Freund
家人,Family,家族,가족,Familia,Familia,Familie
工作,Work,仕事,일,Trabajo,Trabajo,Arbeit
学校,School,学校,학校,École,Escuela,Schule
食物,Food,食べ物,음식,Nourriture,Comida,Essen
水,Water,水,물,Eau,Agua,Wasser
空气,Air,空気,공기,Aire,Aire,Luft
太阳,Sun,太陽,태양,Sole,Sol,Sonne
月亮,Moon,月,달,Lune,Luna,Mond
星星,Star,星,별,Étoile,Estrella,Stern
天气,Weather,天気,날씩,Análisis del tiempo,Meteorológico,Wetter
春天,Spring,春,봄,Printemps,Primavera,Frühling
夏天,Summer,夏,여름,Été,Verano,Sommer
秋天,Autumn,秋,가을,Automne,Otoño,Herbst
冬天,Winter,冬,겨울,Hiver,Invierno,Winter
快乐,Happy,幸せ,행복,Heureux,Feliz,Glücklich
悲伤,Sad,悲しみ,슬픔,Triste,Triste,Traurig
爱,Love,愛,사랑,Amor,Amor,Liebe
和平,Peace,平和,평화,Paz,Paz,Frieden
自由,Freedom,自由,자유,Libertad,Libertad,Freiheit
希望,Hope,希望,希望,Espoiranza,Espetanza,Hoffnung
梦想,Dream,夢,꿈,Sueño,Sueño,Traum
勇气,Courage,勇気,용기,Courage,Coraje,Mut
智慧,Wisdom,知恵,지혜,Sagesse,Sabiduría,Weisheit
感谢,Gratitude,感謝,감사,Gratitude,Gratitud,Dankbarkeit
尊重,Respect,尊重,존중,Respect,Respeto,Respekt
诚信,Honesty,誠実,성실,Honestidad,Honestad,Ehrlichkeit
合作,Cooperation,協力,협력,Cooperación,Cooperación,Zusammenarbeit
成功,Success,成功,성공,Éxito,Éxito,Erfolg
失败,Failure,失敗,실패,Échec,Fracaso,Misserfolg
努力,Effort,努力,노력,Effort,Esfuerzo,Bemühen
坚持,Persistence,持続,지속,Persistencia,Persistencia,Ausdauer
进步,Progress,進歩,진보,Progrès,Progreso,Fortschritt
创新,Innovation,革新,혁신,Innovation,Innovación,Innovation
传统,Tradition,伝統,전통,Tradition,Tradición,Tradition
现代,Modern,現代,현대,Moderne,Moderno,Modern
文化,Culture,文化,문화,Cultura,Kultur,Kultur
艺术,Art,芸術,예술,Arte,Arte,Kunst
音乐,Music,音楽,음악,Musique,Música,Musik
电影,Film,映画,영화,Película,Película,Film
读书,Read,読書,독서,Lectura,Lectura,Lesen
旅行,Travel,旅行,여행,Viaje,Viaje,Reisen
探索,Explore,探索,탐험,Exploración,Exploración,Erforschung
理解,Understand,理解,이해,Compréhender,Entender,Verstehen
沟通,Communicate,交流,소통,Comunicación,Comunicación,Kommunikation
连接,Connect,接続,연결,Conexión,Conexión,Verbindung
分享,Share,共有,공유,Compartir,Compartir,Teilen
合作,Cooperate,協働,협동,Cooperar,Cooperar,Zusammenarbeiten
帮助,Help,助け,도움,Ayuda,Ayuda,Hilfe
支持,Support,支持,지원,Soutien,Apoyo,Unterstützung
信任,Trust,信頼,신뢰,Confiance,Confianza,Vertrauen
责任,Responsibility,責任,책임,Responsabilidad,Responsabilidad,Verantwortung
成长,Growth,成長,성장,Croissance,Crecimiento,Wachstum
改变,Change,変化,변화,Change,Cambio,Veränderung
发现,Discover,発見,발견,Découverte,Descubrimiento,Entdeckung
创造,Create,創造,창조,Creación,Creación,Schöpfung
思考,Thinking,思考,생각,Pensamiento,Pensamiento,Denken
感受,Feeling,感じ,느낌,Sentimiento,Sentimiento,Gefühl
记忆,Memory,記憶,기억,Mémoire,Memoria,Erinnerung
回忆,Recall,回想,회상,Rappel,Recuerdo,Rückruf
期待,Expect,期待,기대,Attente,Esperanza,Erwartung
未来,Future,未来,미래,Futuro,Futuro,Zukunft
过去,Past,過去,과거,Pasado,Pasado,Vergangenheit
现在,Present,現在,현재,Présent,Presente,Gegenwart
永远,Forever,永遠,영원,Toujours,Para siempre,Für immer
瞬间,Moment,瞬間,순간,Moment,Momento,Augenblick
永恒,Eternal,永遠,영원,Éternel,Eterno,Ewig
宇宙,Universe,宇宙,우주,Univers,Universo,Universum
世界,World,世界,세계,Monde,Mundo,Welt
自然,Nature,自然,자연,Nature,Naturaleza,Natur
生命,Life,生命,생명,Vie,Vida,Leben
人类,Human,人間,인간,Humano,Ser humano,Mensch
社会,Society,社会,사회,Société,Sociedad,Gesellschaft
家庭,Home,家庭,가정,Hogar,Hogar,Haushalt
社区,Community,コミュニティ,공동体,Communauté,Comunidad,Gemeinschaft
国家,Country,国家,나라,Pays,País,Land
民族,Nation,民族,민족,Nación,Nación,Nation
地球,Earth,地球,지구,Terre,Tierra,Erde
海洋,Ocean,海洋,해양,Océano,Ozeano,Ozean
天空,Sky,天空,하늘,Ciel,Ciel,Himmel
夜晚,Night,夜,밤,Nuit,Noche,Nacht
白天,Day,昼,낮,Jour,Día,Tag
光芒,Light,光,빛,Lumière,Luz,Licht
阴影,Shadow,影,그림,Ombre,Sombra,Schatten
色彩,Color,色,색,Couleur,Color,Farbe
声音,Sound,音,소니드,Sonido,Sonido,Klang
寂静,Silence,静寂,고요,Silencio,Silencio,Stille
喧嚣,Noise,騒音,소음,Ruido,Ruido,Lärm
宁静,Tranquility,静け,평온,Tranquillidad,Tranquilidad,Ruhe
繁华,Bustling,賑やか,번잡,Burbujeo,Bullimiento,Trubel
孤独,Lonely,孤独,외로움,Solitude,Soledad,Einsamkeit
陪伴,Companionship,付き合い,동반,Compagnie,Compañía,Begleitung
理解,Understand,理解,이해,Comprendido,Entendido,Verständnis
包容,Include,含む,포함,Inclut,Incluido,Einschließen
接受,Accept,受け入る,받어하다,Aceptar,Aceptar,Annehmen
拒绝,Reject,拒否,거절하다,Rechazar,Rechazar,Ablehnen
选择,Choose,選ぶ,선택하다,Choisir,Elegir,Wählen
决定,Decide,決める,결정하다,Decidir,Decidir,Entscheiden
判断,Judge,判断する,판단하다,Juger,Juzgar,Beurteilen
分析,Analyze,分析する,분석하다,Analizar,Analizar,Analysieren
评估,Evaluate,評価する,평가하다,Évaluer,Valorar,Evaluieren
总结,Summarize,まとめる,요약하다,Résumer,Resumir,Zusammenfassen
计划,Plan,計画する,계획하다,Planear,Planear,Planen
准备,Prepare,準備する,준비하다,Preparar,Preparar,Vorbereiten
执行,Execute,実行する,실행하다,Ejecutar,Ejecutar,Ausführen
完成,Complete,完了する,완료하다,Completar,Completar,Vervollständigen
开始,Start,始める,시작하다,Comenzar,Empezar,Starten
结束,End,終わる,끝나다,Acabar,Terminar,Beenden
